Location,Total Medicare Part A Enrollees,Total Hospitals,Total Hospital Beds,"Total Hospital Beds Per 1,000 Part A Enrollees",Short Stay Hospitals,Short Stay Hospital Beds,"Short Stay Hospital Beds Per 1,000 Part A Enrollees",Critical Access Hospitals,Critical Access Hospital Beds,"Critical Access Hospital Beds Per 1,000 Part A Enrollees",All Other Hospitals,All Other Hospital Beds,"All Other Hospital Beds Per 1,000 Part A Enrollees"
New Jersey,"1,642,424",95,"27,639",16.83,63,"23,606",14.37,0,0,0,32,"4,033",2.46
New Mexico,"434,391",54,"4,849",11.16,31,"3,900",8.98,11,288,0.66,12,661,1.52
New York,"3,694,453",191,"56,747",15.36,141,"49,691",13.45,18,453,0.12,32,"6,603",1.79
North Carolina,"2,070,452",127,"25,414",12.27,84,"21,987",10.62,20,630,0.3,23,"2,797",1.35
North Dakota,"136,691",49,"3,318",24.27,7,"2,188",16.01,37,781,5.71,5,349,2.55
Ohio,"2,395,503",231,"41,871",17.48,127,"35,129",14.66,33,830,0.35,71,"5,912",2.47
Oklahoma,"763,334",147,"14,150",18.54,79,"11,449",15,40,"1,006",1.32,28,"1,695",2.22
Oregon,"901,258",63,"7,977",8.85,34,"7,115",7.89,25,586,0.65,4,276,0.31
Pennsylvania,"2,792,547",216,"35,160",12.59,138,"28,523",10.21,16,366,0.13,62,"6,271",2.25
Rhode Island,"226,124",14,"3,321",14.69,10,"2,583",11.42,0,0,0,4,738,3.26
South Carolina,"1,128,994",86,"13,898",12.31,55,"11,579",10.26,4,100,0.09,27,"2,219",1.97
South Dakota,"184,495",61,"3,277",17.76,19,"2,338",12.67,38,724,3.92,4,215,1.17
Tennessee,"1,402,848",136,"23,780",16.95,80,"20,935",14.92,16,359,0.26,40,"2,486",1.77
Texas,"4,376,345",708,"79,040",18.06,429,"62,028",14.17,88,"1,988",0.45,191,"15,024",3.43
Utah,"424,647",57,"5,883",13.85,33,"4,596",10.82,13,265,0.62,11,"1,022",2.41
Vermont,"154,977",16,"1,840",11.87,6,"1,445",9.32,8,221,1.43,2,174,1.12
Virginia,"1,570,511",105,"19,243",12.25,71,"16,909",10.77,8,191,0.12,26,"2,143",1.36
Washington,"1,430,087",107,"13,442",9.4,51,"10,806",7.56,39,881,0.62,17,"1,755",1.23
West Virginia,"444,106",59,"7,511",16.91,24,"5,992",13.49,21,515,1.16,14,"1,004",2.26
Wisconsin,"1,225,146",147,"17,282",14.11,67,"14,104",11.51,58,"1,315",1.07,22,"1,863",1.52
Wyoming,"117,253",30,"1,586",13.53,11,"1,097",9.36,16,350,2.99,3,139,1.19
